global_step,avg_reward
1099,28.092790456604863
1199,29.471083165390052
1299,29.185405300144296
1399,27.737462079727734
1499,25.117121453928817
1599,24.80091540429951
1699,28.00526702419225
1799,29.93339013604785
1899,29.99821676052078
1999,30.060597899487007
2099,29.988655651793284
2199,30.260278371529438
2299,29.902500095935867
2399,30.144466738521523
2499,30.29137094045234
2599,30.039929424126285
2699,30.163524573128434
2799,30.486216853880528
2899,30.357072192181022
2999,30.459158360215337
3099,30.477477683795573
3199,30.4104973429517
3299,30.378803715346997
3399,30.331130269850043
3499,30.56128217007206
3599,30.21149418024262
3699,30.550527363358846
3799,30.402024865714214
3899,30.261501351330267
3999,30.333725974179412
4099,30.532070500508212
4199,30.559813124397664
4299,30.570547697165146
4399,30.48939254377607
4499,30.59203898006823
4599,30.411347122570128
4699,30.433213454214542
4799,30.362994838984864
4899,30.437342759065817
4999,30.381986676515734
5099,30.309948243672736
5199,30.429577605851442
5299,30.463176199241374
5399,30.4165674660965
5499,30.504194495374012
5599,30.493451647830014
5699,30.4863549496437
5799,30.252934864849355
5899,30.43004455524203
5999,30.538315723442096
6099,30.46750825655144
6199,30.383956287483556
6299,30.499045393628464
6399,30.485803493252316
6499,30.532944463871253
6599,30.561831868249627
6699,30.339660516036762
6799,30.404100111875636
6899,30.514022552388038
6999,30.509761558620276
7099,30.431220210136345
7199,30.493258645531395
7299,30.43956517519695
7399,30.545693617866732
7499,30.521227494911255
7599,30.529635375717554
7699,30.551406901493372
7799,30.37993114968613
7899,30.162576248641148
7999,30.5354521323062
8099,30.538569752488183
8199,30.4480644527394
8299,30.498727078404627
8399,30.040917981448857
8499,30.545089438239362
8599,30.496181676959758
8699,30.477094744529133
8799,30.687626438400933
8899,30.63181024956425
8999,30.598890449620768
9099,30.50608243659825
9199,30.372790328589932
9299,30.578760104805315
9399,30.66190216351054
9499,30.42976670819114
9599,30.480793876878
9699,30.43123723575768
9799,30.439140659329706
9899,30.534729207251367
9999,30.334442846321295
10099,30.6538010301128
10199,30.480290948477695
10299,30.54988990432413
10399,30.526627607544373
10499,30.342275046637024
10599,30.547627937018483
10699,30.1831930224064
10799,30.314726700899442
10899,30.529176162364354
10999,30.57369621292527
11099,30.392946199417285
11199,30.421546349198167
11299,30.428227547661503
11399,30.466287552353702
11499,30.423252412899295
11599,30.38007411174393
11699,30.57119331769176
11799,30.463448773350148
11899,30.58952717453222
11999,30.478078651547293
