global_step,avg_reward
1099,1.6401632486480973
1199,2.991461075400469
1299,2.0044087338026735
1399,2.623104785225998
1499,3.01346087133966
1599,3.003004795429039
1699,2.4771043771043764
1799,2.0822130394857665
1899,2.238670543822059
1999,2.611620242832365
2099,3.319003162942558
2199,3.0546525864707674
2299,2.296028976635037
2399,1.8562054892357926
2499,2.2201142740536683
2599,2.020431588613407
2699,1.855163758800121
2799,2.3949107233955704
2899,2.8812223242526285
2999,3.362638506274869
3099,3.3203203754718915
3199,3.0683675135190294
3299,2.732497704315885
3399,2.3036414651566175
3499,2.329187837975718
3599,3.6427844097541073
3699,3.121553923069075
3799,2.8454739312315076
3899,2.322260993776146
3999,2.2399826548311395
4099,2.1550035710641766
4199,1.9975308641975302
4299,2.56934292419141
4399,2.5349015406591167
4499,1.9181695745332106
4599,1.891375369860218
4699,3.7095898377716567
4799,4.453100704009795
4899,3.354640342822161
4999,1.7909968370574427
5099,2.5494459749005203
5199,3.4900408121620243
5299,4.55851953882257
5399,5.328841954902565
5499,5.685313743495563
5599,5.833716967656362
5699,4.532618100193855
5799,2.4737281910009186
5899,1.7722140597898175
5999,2.0653851647791037
6099,2.786362616059586
6199,3.771609019487808
6299,3.318566472808898
6399,1.7477420671360067
6499,2.354940312213039
6599,3.2514141414141426
6699,3.880818283848587
6799,4.602092643607793
6899,5.18183042546679
6999,5.868379757167633
7099,6.492433425160694
7199,7.097785940210185
7299,7.529281705948369
7399,7.927903275176001
7499,8.118898071625342
7599,8.296428935822874
7699,8.568999081726353
7799,8.391146821752878
7899,8.186169778594019
7999,8.113152739516375
8099,7.896933986327918
8199,7.592884399551066
8299,7.4299459238853185
8399,7.1709478624630165
8499,7.075074992347721
8599,6.732294663809816
8699,6.501135598408322
8799,6.255222936435054
8899,6.023265993265989
8999,6.086987042138557
9099,6.178395061728395
9199,6.2685715743291555
9299,5.905764717885933
9399,5.655056626874808
9499,5.486579940822372
9599,5.820091827364552
9699,5.648988878685855
9799,5.344958677685951
9899,5.2052372206917665
9999,4.99349352106928
10099,4.811450872359966
10199,4.485003571064178
10299,4.189065401489644
10399,3.4799959187837977
10499,2.8071390674420984
10599,2.6508458320579535
10699,2.8709631670237727
10799,2.8068431792674233
10899,2.746170798898072
10999,2.65065503520049
11099,2.541349862258952
11199,3.13872155902459
11299,3.809724517906338
11399,4.480863177226814
11499,5.074152637485972
11599,5.8887664524028205
11699,6.320419344964798
11799,6.827792062034491
11899,7.344176104479138
11999,7.8623140495867805
