global_step,avg_reward
1099,1.5946995204570955
1199,3.1177390062238546
1299,4.134915824915825
1399,4.027912457912457
1499,4.016213651668196
1599,3.740237730843792
1699,3.8243199673502692
1799,3.870373431282523
1899,3.7292439546985015
1999,3.85921130496888
2099,3.8515947352310973
2199,3.9199704111825326
2299,4.153666972757882
2399,4.256516681971229
2499,4.288974594429141
2599,4.445097439036831
2699,4.561078461381493
2799,4.704733190490767
2899,4.770281603917966
2999,4.840702989490867
3099,5.246249362309967
3199,5.576806448321598
3299,5.771111111111108
3399,5.763380267319659
3499,5.612612998673603
3599,5.5033404754616875
3699,5.348400163248648
3799,5.508501173349658
3899,5.627294153657787
3999,5.114181205999387
4099,4.681422303846548
4199,4.2882369146005495
4299,4.481348841954903
4399,4.469329660238751
4499,4.498891949801041
4599,4.386902356902357
4699,4.44569635751454
4799,4.3240995816753385
4899,4.4994949494949505
4999,4.8306376900316295
5099,4.869018467503317
5199,4.820615243342514
5299,4.5724130190796854
5399,4.283871033568005
5499,4.40018671564126
5599,4.515144373023163
5699,4.581232527293135
5799,4.648307315580043
5899,4.556745230078563
5999,4.768050198959289
6099,5.009113355780023
6199,5.220508111417202
6299,5.172235486174881
6399,5.1106999285787165
6499,5.219605142332414
6599,5.192139577594125
6699,5.525939189878586
6799,5.453920008162431
6899,5.556479951025404
6999,5.865498418528723
7099,6.16584532190593
7199,6.018986838077748
7299,5.628735843281298
7399,5.799295990205085
7499,5.517424752576265
7599,5.525747372717068
7699,5.458950107131927
7799,5.540568309356186
7899,5.7224211815120904
7999,5.885288235894299
8099,5.85977961432507
8199,5.67156616671768
8299,5.429776553412917
8399,5.649233751657992
8499,6.027202326293236
8599,5.963724109784714
8699,5.903905723905722
8799,5.887340067340068
8899,5.833139475563717
8999,5.394313845525968
9099,5.3198408325681035
9199,5.689057239057238
9299,6.08280583613917
9399,6.32881032547699
9499,6.393654729109273
9599,6.377705336190185
9699,6.21031629425569
9799,6.316580961126417
9899,6.245953474135295
9999,6.288952147740025
10099,6.392106927864506
10199,6.7793623099683735
10299,6.457708397102336
10399,5.789212325272931
10499,5.837402305887152
10599,5.606813590449954
10699,5.503950617283951
10799,5.386654423018061
10899,5.307076828895012
10999,6.041316192225281
11099,6.453171104989288
11199,6.565876951331494
11299,6.517971635547391
11399,6.377981838587899
11499,5.494657687991019
11599,5.41267319661259
11699,5.295155596367718
11799,5.860734618916439
11899,6.3011437608407315
11999,6.507694112845624
