global_step,avg_reward
1099,14.002709682096386
1199,15.137534046161289
1299,14.648828193388209
1399,12.966465804585216
1499,11.45756623757789
1599,15.309712038979649
1699,16.75516003186956
1799,16.85449611152807
1899,16.738394439710824
1999,16.746455903477653
2099,16.934563938171998
2199,16.938232705244694
2299,16.933348986543127
2399,17.099240330042413
2499,17.077376472978088
2599,17.023443369715938
2699,17.068377558511866
2799,17.097781570642137
2899,17.067531341132927
2999,17.050672362546496
3099,17.00087369883118
3199,17.132937494806114
3299,17.107208084369393
3399,17.124189929913268
3499,17.074045533777266
3599,17.143056013778377
3699,17.12878679689524
3799,17.031347885907742
3899,17.120622517590718
3999,17.008743363123298
4099,17.054136073884013
4199,17.064069903748553
4299,17.084806197515455
4399,17.043533625412923
4499,17.170591956064875
4599,17.057716630541883
4699,16.97134687431402
4799,17.14467238198854
4899,17.150135019878448
4999,17.14914036383095
5099,17.017043432103858
5199,17.05131162490942
5299,17.062198053332185
5399,17.049653838733306
5499,17.13198327541635
5599,17.09117428347836
5699,17.066474541978792
5799,17.056388382864203
5899,17.108546268310857
5999,17.106175261973462
6099,17.15271479234463
6199,17.073708551119843
6299,17.10132007394595
6399,17.10326200452462
6499,17.09980847200823
6599,17.10176604601528
6699,17.054233542677004
6799,17.183436636814463
6899,17.06386433745272
6999,17.156943937669443
7099,17.071590074236333
7199,17.086463215624008
7299,16.995581048446287
7399,17.07574999900414
7499,17.036019248699926
7599,17.016576770442565
7699,17.09824022714409
7799,17.106561309441478
7899,17.067359515234617
7999,17.14897947686023
8099,17.035315500392517
8199,17.01510198772987
8299,16.983254736207822
8399,17.036850666431775
8499,17.008681088453102
8599,17.109291649716276
8699,17.020215157657475
8799,16.988125055069187
8899,17.074734479050733
8999,16.934645100741506
9099,17.041121990693004
9199,17.039824859704957
9299,17.071387810930382
9399,17.11413133201211
9499,17.077239323491206
9599,17.123346716614
9699,17.096224493335296
9799,17.074531962789273
9899,17.186179069694212
9999,16.987718866115163
10099,17.094514520683344
10199,17.072547140821698
10299,17.102395453676692
10399,17.104232559199954
10499,17.154376394278835
10599,17.107982446216134
10699,17.045688866520393
10799,17.10467760292292
10899,16.964571007603613
10999,17.03532616827159
11099,17.057293122040445
11199,17.164173354092092
11299,17.101748218913404
11399,16.984485388498264
11499,17.040313451391846
11599,17.163049564660263
11699,17.153516509893866
11799,17.071808309988977
11899,17.019308600792787
11999,17.025702344955434
