global_step,avg_reward
1099,1.4103030303030304
1199,2.9837720640750938
1299,4.212960922354862
1399,4.709159269462299
1499,4.943421079481686
1599,5.001071319253139
1699,5.004607693092542
1799,5.001203958779716
1899,5.006749311294767
1999,5.003406795224977
2099,5.004406693194571
2199,5.006777879808184
2299,5.002190592796654
2399,5.00519334761759
2499,5.005803489439853
2599,5.002997653300684
2699,5.001204979083767
2799,5.001388633812876
2899,5.005200489745945
2999,5.00801550862157
3099,5.007198245077033
3199,5.00361391694725
3299,5.005997347209469
3399,5.001806958473625
3499,5.003199673502704
3599,5.005407611468218
3699,5.000999897969595
3799,5.0070074482195706
3899,5.006009590858076
3999,5.0028007346189165
4099,5.000595857565554
4199,5.006599326599327
4299,5.001794714825018
4399,5.002563003775125
4499,5.005395367819611
4599,5.004401591674319
4699,5.006206509539844
4799,5.005200489745945
4899,5.004397510458117
4999,5.002799714314866
5099,5.004183246607489
5199,5.003807774716866
5299,5.002399755127028
5399,5.003786348331803
5499,5.008385878991941
5599,5.004913784307725
5699,5.0024058769513315
5799,5.001980410162229
5899,5.005215794306704
5999,5.008422609937762
6099,5.0039995918783795
6199,5.004793388429753
6299,5.002994592388532
6399,5.007789001122335
6499,5.004813794510764
6599,5.001602897663504
6699,5.001794714825018
6799,5.001201918171615
6899,5.005204570962147
6999,5.002790531578411
7099,5.004380165289257
7199,5.002404856647281
7299,5.000796857463524
7399,5.002995612692583
7499,5.001199877563514
7599,5.002355882052853
7699,5.002809917355372
7799,5.004196510560147
7899,5.005607591062137
7999,5.001188654218957
8099,5.002807876747271
8199,5.0072829303132345
8299,5.001185593306806
8399,5.0015763697581885
8499,5.003605754514846
8599,5.004811753902663
8699,5.002191613100704
8799,5.000582593612897
8899,5.001598816447301
8999,5.003199673502704
9099,5.002992551780431
9199,5.0019844913784315
9299,5.004403632282421
9399,5.000793796551372
9499,5.002196714620958
9599,5.002601775329048
9699,5.003601673298643
9799,5.002319151107031
9899,5.0028017549229675
9999,5.001978369554127
10099,5.00199979593919
10199,5.004197530864198
10299,5.001796755433119
10399,5.007987960412204
10499,5.00961228446077
10599,5.001602897663504
10699,5.004798489950006
10799,5.0029996939087855
10899,5.009791857973677
10999,5.00641873278237
11099,5.004806652382411
11199,5.001392715029079
11299,5.006199367411488
11399,5.00599938781757
11499,5.004376084073055
11599,5.010827466585043
11699,5.001396796245281
11799,5.006398326701357
11899,5.005401489643914
11999,5.005187225793287
