global_step,avg_reward
1099,0.8365840220385675
1199,1.7501897765534136
1299,2.1010815222936436
1399,2.2211386593204763
1499,2.2362585450464243
1599,2.2348352208958264
1699,2.2742730333639427
1799,2.1726609529639846
1899,2.1959759208244054
1999,2.1840271400877462
2099,2.197760432608917
2199,2.2010825425976943
2299,2.1902867054382225
2399,2.218690949903072
2499,2.1685572900724406
2599,2.5481420263238443
2699,2.6173829201101926
2799,2.578720538720538
2899,2.524621977349251
2999,2.4989909192939503
3099,2.5055178043056823
3199,2.552868074686256
3299,2.5036282012039575
3399,2.517868584838282
3499,2.5321293745536164
3599,2.508586878889908
3699,2.507014590347925
3799,2.5353912866034074
3899,2.493871033568004
3999,2.5002030405060713
4099,2.5120324456688095
4199,2.4648913376186106
4299,2.451409039893889
4399,2.481890623405776
4499,2.4424681154984187
4599,2.5074941332517087
4699,2.5205203550658095
4799,2.53114580144883
4899,2.4693429241914084
4999,2.4456351392715034
5099,2.4468472604836244
5199,2.437756351392715
5299,2.4626374859708196
5399,2.5089950005101516
5499,2.4789582695643317
5599,2.8229915314763803
5699,3.280566268748087
5799,3.2372257932864015
5899,2.9586664626058568
5999,2.749810223446586
6099,2.7984532190592786
6199,2.6926782981328437
6299,2.753038465462707
6399,2.8209805121926332
6499,2.7176124885215773
6599,2.597494133251709
6699,2.5291817161514127
6799,2.3342465054586268
6899,2.335099479644935
6999,2.470476481991633
7099,2.782210998877667
7199,2.954140393837364
7299,2.9530149984695435
7399,2.938928680746863
7499,2.863931231506989
7599,2.728874604632182
7699,2.712858891949801
7799,2.676825834098561
7899,2.6777043158861344
7999,2.70193245587185
8099,2.7150188756249354
8199,2.6995102540557077
8299,2.7036435057647172
8399,2.6777665544332208
8499,2.7041036628915407
8599,2.7674869911233566
8699,2.8020477502295678
8799,2.728420569329661
8899,2.641282522191612
8999,2.625500459136823
9099,2.6040934598510344
9199,2.643974084277115
9299,2.6383205795327025
9399,2.6433761861034593
9499,2.671841648811346
9599,2.7084879093970016
9699,2.7789001122334462
9799,2.751548821548823
9899,2.6840087746148367
9999,2.6842781348841958
10099,2.663887358432815
10199,2.6487297214569954
10299,2.5152484440363216
10399,2.4134180185695366
10499,2.3234700540761133
10599,2.232893582287523
10699,2.2285756555453533
10799,2.2740108152229386
10899,2.3658902152841543
10999,2.4572064075094393
11099,2.2938261401897755
11199,2.2407142128354254
11299,2.182836445260688
11399,2.2729007244158783
11499,2.323209876543211
11599,2.4790725436179986
11699,2.4083532292623215
11799,2.1811498826650344
11899,2.2933384348535895
11999,2.268360371390676
