global_step,avg_reward
1099,19.513175271009537
1199,18.519005574962094
1299,20.44273327329284
1399,18.634880572579632
1499,12.971858825732935
1599,11.82118784768934
1699,15.835988685851982
1799,13.564353166134516
1899,15.98220081957486
1999,16.32144194903043
2099,15.772799854348857
2199,13.726846585282535
2299,14.941005273851658
2399,12.312900794404948
2499,11.9164602948794
2599,11.854625260613057
2699,10.755035538362417
2799,12.222707779246294
2899,11.76474130060108
2999,11.062887649298943
3099,12.563190943784818
3199,11.247683109280626
3299,11.954982190668584
3399,11.814578461786025
3499,11.38170743302675
3599,12.850674078917228
3699,11.49601534620486
3799,12.560629913773026
3899,14.901459532538416
3999,15.709901543972427
4099,20.39387487751442
4199,18.642206926226063
4299,15.583371771335367
4399,15.431740996616941
4499,16.34216549368464
4599,15.333419119259865
4699,16.717567811319977
4799,16.231056557625486
4899,16.40584491244735
4999,15.975294863828692
5099,16.42668196303356
5199,15.571500425443896
5299,16.24700504850526
5399,16.502661113398712
5499,15.93481943267323
5599,17.554738232473724
5699,15.460028506794078
5799,15.823281650017286
5899,16.25058769097235
5999,16.36703458728856
6099,16.416660183793628
6199,17.15030991664427
6299,15.841597186660815
6399,16.36749943331629
6499,16.657993151276322
6599,16.63851089548414
6699,16.867639726755897
6799,16.163700221092185
6899,16.635803151245838
6999,15.493383324190308
7099,16.77171362705301
7199,16.20373484812493
7299,16.955975178167318
7399,16.828306568613577
7499,16.46487229891917
7599,17.101491291002556
7699,16.47842965464288
7799,16.97674516980719
7899,16.314988114839018
7999,16.997602872469198
8099,15.576706107281247
8199,17.39008113458495
8299,15.925026561691562
8399,16.516848807323633
8499,16.380117824580143
8599,16.146801244381187
8699,16.15301970326991
8799,16.37476669400228
8899,15.52338405881027
8999,15.925312122050935
9099,16.484299266888122
9199,16.305696089307574
9299,16.985381675703298
9399,15.521854863127274
9499,15.728350377983359
9599,16.32458887446307
9699,16.378823167259437
9799,15.971061775235315
9899,16.466004208990753
9999,16.060153081010522
10099,15.651656583530233
10199,15.849994044901168
10299,16.25795533794634
10399,16.626732404379887
10499,16.821443137505813
10599,15.265097241902797
10699,16.796437066442582
10799,15.974853791617596
10899,16.81448901524323
10999,16.584490430317917
11099,16.24531689505051
11199,15.947739929772162
11299,16.428775229189508
11399,16.76807769072051
11499,16.78802072144207
11599,18.140968691827997
11699,15.806289967465519
11799,16.751393743890233
11899,16.339763179838933
11999,16.40305594035016
