global_step,avg_reward
1099,1.455771860014284
1199,4.492696663605754
1299,4.995200489745946
1399,4.8024487297214575
1499,4.730316294255689
1599,5.103811855933068
1699,5.1619467401285615
1799,4.593280277522702
1899,4.570383634323028
1999,4.422757881848792
2099,4.072030405060708
2199,4.108644015916744
2299,4.243689419446994
2399,4.589040914192429
2499,4.6174890317314565
2599,4.544910723395571
2699,4.549302112029383
2799,4.600920314253646
2899,4.631524334251606
2999,4.638399142944599
3099,4.908274665850422
3199,5.308679726558515
3299,5.5445944291398845
3399,5.228471584532189
3499,5.214509743903683
3599,5.162004897459443
3699,5.177012549739823
3799,5.131450872359966
3899,5.228847056422813
3999,5.438909294969901
4099,5.445186205489237
4199,5.615645342312008
4299,5.600742781348841
4399,5.9379675543311885
4499,5.96494031221304
4599,5.886885011733495
4699,5.9257381899806125
4799,5.89925925925926
4899,6.164068972553818
4999,6.533154780124479
5099,6.61616773798592
5199,6.757505356596267
5299,6.532263034384246
5399,6.752251811039689
5499,7.038521579430669
5599,6.9224477094174075
5699,7.147714518926641
5799,6.988075706560559
5899,7.138882767064583
5999,7.514051627384959
6099,7.6032108968472585
6199,7.728892970105092
6299,7.5360483624119965
6399,7.5795561677379855
6499,7.681707988980718
6599,7.940797877767569
6699,7.93398326701357
6799,8.211442709927558
6899,8.294574023058871
6999,8.277974696459546
7099,8.058886848280785
7199,8.217934904601568
7299,8.12212121212121
7399,7.898134884195489
7499,7.680708091011121
7599,7.523880216304458
7699,7.174000612182432
7799,7.233935312723194
7899,7.517163554739313
7999,7.983101724313846
8099,8.19593918987858
8199,8.40483828180798
8299,8.436116722783389
8399,8.54154882154882
8499,8.281990613202737
8599,8.190892766044286
8699,8.287163554739315
8799,8.486392204877049
8899,8.566298336904394
8999,8.742085501479439
9099,8.69790939700031
9199,8.584395469850016
9299,8.124229160289765
9399,7.635191307009491
9499,7.2523018059381705
9599,7.194292419140901
9699,7.1328803183348635
9799,7.564212835424953
9899,7.9218212427303305
9999,8.246511580450973
10099,8.502767064585248
10199,8.516367717579838
10299,8.593704724007752
10399,8.789652076318744
10499,9.036738087950205
10599,9.009034792368126
10699,9.13407101316192
10799,9.219636771757983
10899,9.241511070298952
10999,9.164935210692784
11099,9.14460361187634
11199,9.40178859300071
11299,9.178699112335476
11399,9.037504336292216
11499,8.584648505254565
11599,8.05557494133252
11699,7.860045913682274
11799,7.693256810529537
11899,7.564197530864193
11999,7.644901540659117
